,,,,,,,,,,,,,,,
,"The following list contains top 9933 most frequent Chinese characters based on Jun Da's Modern Chinese Character Frequency List, in the order of decreasing frequency. The number                                          of encounters in the corpus is recalculated into a percentage. The additional and missing information was gathered on HanziDB, Wikidictionary, as well as filled in by hand.",,,,,,,,,,,,,,
,№,Freq.,General standard #,Radical,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,,,,Meaning,
,57,57,1549,禾 115.4,503344,"0,260121%",3,3,9,种,zhǒng,zhong,third,"seed; race, breed; to plant","32,403870%"
,58,58,1038,亅 6.7,499172,"0,257965%",2,1,8,事,shì,shi,fourth,"affair, matter, business; to serve; accident, incident","32,661834%"
,59,59,0401,戈 62.3,499007,"0,257879%",3,2,6,成,chéng,cheng,second,"completed, finished, fixed","32,919714%"
,60,60,0163,方 70.0,492763,"0,254653%",3,1,4,方,fāng,fang,first,"a square, rectangle; a region; local","33,174366%"
,61,61,0507,夕 36.3,481689,"0,248930%",1,1,6,多,duō,duo,first,"much, many; more than, over","33,423296%"
,62,62,1350,糸 120.5,481338,"0,248748%",2,2,8,经,jīng,jing,first,classic works; pass through,"33,672044%"
,63,63,0048,丿 4.2,477969,"0,247007%",1,1,3,么,me,me,neutral,interrogative particle; repetition of a tune small; tender,"33,919052%"
,64,64,0204,厶 28.3,476270,"0,246129%",1,1,5,去,qù,qu,fourth,"go away, leave, depart","34,165181%"
,65,65,1241,水 85.5,466816,"0,241244%",3,2,8,法,fǎ,fa,third,"law, rule, regulation, statute; France, French","34,406425%"
,66,66,1273,子 39.5,464261,"0,239923%",1,1,8,学,xué,xue,second,"learning, knowledge; school","34,646348%"
,67,67,0578,女 38.3,449036,"0,232055%",3,2,6,如,rú,ru,second,"if, supposing; as if; like, as","34,878403%"
,68,68,1801,邑 163.9,439568,"0,227162%",1,1,10,都,dōu,dou,first,"metropolis, capital; all, the whole; elegant, refined","35,105565%"
,69,69,0427,口 30.3,437611,"0,226151%",1,1,6,同,tóng,tong,second,"same, similar; together with","35,331716%"
,70,70,0949,玉 96.4,433960,"0,224264%",1,1,8,现,xiàn,xian,fourth,"appear, manifest, become visible","35,555980%"
,71,71,0418,小 42.3,429274,"0,221842%",3,2,6,当,dāng,dang,first,"bear, accept, undertake; just","35,777822%"
,72,72,0867,水 85.4,428146,"0,221259%",1,1,7,没,méi,mei,second,"not, have not, none; drown, sink","35,999082%"
,73,73,0353,力 19.4,426839,"0,220584%",2,1,6,动,dòng,dong,fourth,"move, happen; movement, action","36,219666%"
,74,74,1455,面 176.0,425180,"0,219727%",1,1,9,面,miàn,mian,fourth,"face; surface; plane; side, dimension","36,439393%"
,75,75,1789,走 156.3,424933,"0,219599%",1,1,10,起,qǐ,qi,third,"rise, stand up; go up; begin","36,658992%"
,76,76,1539,目 109.4,424616,"0,219435%",1,1,9,看,kàn,kan,fourth,"look, see; examine, scrutinize","36,878427%"
,77,77,1276,宀 40.5,422538,"0,218361%",3,2,8,定,dìng,ding,fourth,"decide, settle, fix","37,096788%"
,78,78,0078,大 37.1,419884,"0,216990%",1,1,4,天,tiān,tian,first,"sky, heaven; god, celestial","37,313778%"
,79,79,0146,刀 18.2,419382,"0,216730%",1,1,4,分,fēn,fen,first,divide; small unit of time etc.,"37,530509%"
,80,80,0704,辵 162.4,415855,"0,214908%",2,1,7,还,hái,hai,second,"still, yet, also, besides","37,745416%"
,81,81,0605,辵 162.4,412166,"0,213001%",2,1,7,进,jìn,jin,fourth,"advance, make progress, enter","37,958417%"
,82,82,0581,女 38.3,411866,"0,212846%",1,1,6,好,hǎo,hao,third,"good, excellent, fine; well","38,171264%"
,83,83,0037,小 42.0,410987,"0,212392%",1,1,3,小,xiǎo,xiao,third,"small, tiny, insignificant","38,383656%"
,84,84,2044,邑 163.8,403066,"0,208299%",4,2,10,部,bù,bu,fourth,"part, division, section","38,591954%"
,85,85,0996,八 12.6,403028,"0,208279%",3,2,8,其,qí,qi,second,"his, her, its, their; that","38,800233%"
,86,86,1069,二 7.5,400528,"0,206987%",1,1,8,些,xiē,xie,first,"little, few; rather, somewhat","39,007220%"
